Vardas         Pavardė       ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas5327     Pavardė5327   1         10        2         3         5         1         1         8         9         8         9         3         10        4         2         5         
Vardas5328     Pavardė5328   10        8         10        4         8         9         5         5         5         8         6         5         9         4         6         10        
Vardas5329     Pavardė5329   3         2         5         4         5         3         8         7         2         5         6         2         2         1         5         7         
Vardas5330     Pavardė5330   4         1         3         9         5         9         2         8         7         4         5         6         6         1         4         10        
Vardas5331     Pavardė5331   10        3         10        6         3         2         1         7         5         5         5         8         8         1         2         9         
Vardas5332     Pavardė5332   1         2         8         1         5         6         2         2         5         5         3         10        10        2         5         4         
Vardas5333     Pavardė5333   5         4         4         8         9         1         2         6         3         6         1         7         1         2         9         9         
Vardas5334     Pavardė5334   10        9         2         7         1         5         8         10        1         9         3         1         6         8         3         7         
Vardas5335     Pavardė5335   5         8         3         8         5         8         7         2         9         8         10        6         5         1         8         9         
Vardas5336     Pavardė5336   6         9         1         10        4         6         3         3         9         9         1         7         1         3         2         10        
Vardas5337     Pavardė5337   6         10        5         3         10        10        2         8         1         4         7         3         10        10        3         5         
Vardas5338     Pavardė5338   4         4         1         3         4         9         8         9         8         6         5         2         4         6         3         7         
Vardas5339     Pavardė5339   6         7         10        10        1         8         4         6         4         10        10        6         9         4         3         8         
Vardas5340     Pavardė5340   7         3         2         5         10        1         8         6         6         2         3         8         5         9         4         5         
Vardas5341     Pavardė5341   4         2         4         3         2         1         10        8         5         7         8         9         10        3         3         6         
Vardas5342     Pavardė5342   7         4         8         3         7         10        6         2         5         8         8         6         2         5         1         2         
Vardas5343     Pavardė5343   7         5         1         10        1         6         2         5         5         9         8         1         1         3         4         6         
Vardas5344     Pavardė5344   10        7         8         7         3         4         10        5         6         2         4         10        7         7         6         10        
Vardas5345     Pavardė5345   10        2         2         1         2         7         3         4         5         3         1         9         9         6         9         9         
Vardas5346     Pavardė5346   8         10        5         7         10        8         7         4         3         10        10        4         2         9         9         3         
Vardas5347     Pavardė5347   10        7         10        9         9         3         7         7         3         8         5         10        6         2         9         8         
Vardas5348     Pavardė5348   10        10        4         6         9         5         6         1         1         1         4         10        1         4         8         3         
Vardas5349     Pavardė5349   2         2         10        4         2         4         2         3         1         1         10        5         2         4         1         6         
Vardas5350     Pavardė5350   9         9         9         5         6         1         6         1         9         5         3         6         6         3         10        8         
Vardas5351     Pavardė5351   6         4         7         1         4         4         8         6         4         9         10        6         7         2         8         2         
Vardas5352     Pavardė5352   10        4         4         10        4         4         6         9         3         9         8         2         4         2         5         10        
Vardas5353     Pavardė5353   9         1         1         3         4         10        7         10        5         6         3         5         8         10        4         10        
Vardas5354     Pavardė5354   9         9         5         8         3         5         6         8         10        6         5         7         9         10        5         7         
Vardas5355     Pavardė5355   8         10        7         2         7         9         8         1         8         2         2         2         7         1         6         5         
Vardas5356     Pavardė5356   5         9         9         10        10        1         9         2         9         8         1         7         4         2         1         9         
Vardas5357     Pavardė5357   2         5         8         10        1         6         1         2         7         8         7         4         10        4         9         6         
Vardas5358     Pavardė5358   8         2         1         5         6         10        4         2         3         3         4         10        7         6         6         3         
Vardas5359     Pavardė5359   3         10        10        3         3         5         1         4         1         1         10        2         8         10        7         1         
Vardas5360     Pavardė5360   2         6         6         7         9         1         2         8         9         2         9         7         4         1         8         4         
Vardas5361     Pavardė5361   5         9         9         2         5         7         8         2         8         6         8         9         5         9         5         4         
Vardas5362     Pavardė5362   10        9         10        7         10        9         5         8         10        3         3         6         1         1         9         10        
Vardas5363     Pavardė5363   7         5         6         6         4         7         5         5         2         2         1         7         9         7         4         3         
Vardas5364     Pavardė5364   5         4         3         3         2         4         8         7         1         2         9         6         8         5         6         9         
Vardas5365     Pavardė5365   7         10        1         9         2         5         5         7         3         9         2         10        6         6         8         1         
Vardas5366     Pavardė5366   8         10        6         7         8         6         2         7         6         8         6         6         5         8         6         7         
Vardas5367     Pavardė5367   8         5         7         9         1         5         3         1         2         5         3         10        1         1         2         2         
Vardas5368     Pavardė5368   10        10        9         1         3         8         5         4         5         1         8         2         1         2         6         1         
Vardas5369     Pavardė5369   6         2         9         10        8         2         6         10        8         6         3         2         4         9         2         8         
Vardas5370     Pavardė5370   2         4         8         1         4         1         9         9         5         8         3         6         4         2         1         10        
Vardas5371     Pavardė5371   6         6         9         9         1         10        9         2         7         10        3         2         1         7         9         3         
Vardas5372     Pavardė5372   4         6         2         7         4         8         6         10        8         5         3         8         2         3         5         2         
Vardas5373     Pavardė5373   9         2         1         5         1         9         7         3         1         7         5         8         9         4         8         3         
Vardas5374     Pavardė5374   5         9         5         3         2         1         6         2         10        6         8         7         7         10        9         6         
Vardas5375     Pavardė5375   2         8         5         1         1         7         4         9         4         6         2         7         9         3         5         7         
Vardas5376     Pavardė5376   3         10        6         10        2         10        2         1         10        5         8         9         6         10        6         6         
Vardas5377     Pavardė5377   1         3         3         6         5         4         8         4         7         1         4         3         10        8         10        3         
Vardas5378     Pavardė5378   7         1         5         5         5         6         8         1         6         7         7         10        6         7         1         2         
Vardas5379     Pavardė5379   2         7         10        6         2         7         2         8         10        3         5         6         8         7         5         5         
Vardas5380     Pavardė5380   9         6         7         8         8         10        4         10        3         3         9         8         2         3         4         6         
Vardas5381     Pavardė5381   9         7         9         10        3         3         3         4         6         1         7         6         8         8         10        9         
Vardas5382     Pavardė5382   10        5         6         5         2         9         4         4         1         4         9         1         8         5         8         7         
Vardas5383     Pavardė5383   5         1         5         6         5         8         4         7         7         7         6         3         3         7         10        7         
Vardas5384     Pavardė5384   6         9         5         4         3         5         4         4         7         3         4         6         10        1         3         9         
Vardas5385     Pavardė5385   8         9         10        6         5         4         4         2         2         1         5         3         4         8         6         7         
Vardas5386     Pavardė5386   6         10        8         7         10        9         7         2         1         3         1         10        6         4         1         9         
Vardas5387     Pavardė5387   10        6         8         4         8         4         7         7         2         1         9         5         10        4         9         2         
Vardas5388     Pavardė5388   8         10        5         9         10        4         1         1         5         2         1         2         8         10        1         3         
Vardas5389     Pavardė5389   3         8         6         3         7         3         1         9         5         10        2         2         3         1         7         5         
Vardas5390     Pavardė5390   2         8         7         3         2         5         9         3         9         7         9         9         4         10        1         3         
Vardas5391     Pavardė5391   10        3         5         3         9         1         1         2         3         8         3         8         2         4         2         2         
Vardas5392     Pavardė5392   7         3         3         10        6         4         9         7         3         2         7         2         6         9         5         9         
Vardas5393     Pavardė5393   1         6         3         6         4         3         9         8         2         1         5         6         4         5         10        7         
Vardas5394     Pavardė5394   9         5         3         5         2         2         5         7         10        1         5         9         4         3         9         6         
Vardas5395     Pavardė5395   6         8         5         8         4         7         6         4         10        2         3         2         4         5         6         4         
Vardas5396     Pavardė5396   1         3         9         5         3         2         8         3         2         10        2         3         1         5         7         6         
Vardas5397     Pavardė5397   3         5         4         6         6         4         6         1         8         6         8         7         4         3         2         5         
Vardas5398     Pavardė5398   6         9         4         9         3         4         5         7         8         1         4         9         5         8         9         5         
Vardas5399     Pavardė5399   8         10        10        3         7         6         4         10        7         2         3         4         2         7         7         7         
Vardas5400     Pavardė5400   1         5         1         5         6         10        10        1         1         5         5         7         1         4         3         7         
Vardas5401     Pavardė5401   10        5         1         2         8         1         8         2         10        3         3         1         3         8         4         9         
Vardas5402     Pavardė5402   10        3         1         7         9         8         8         1         4         2         2         7         2         1         7         5         
Vardas5403     Pavardė5403   10        7         5         10        10        4         5         1         5         5         2         10        1         4         6         9         
Vardas5404     Pavardė5404   5         1         3         1         6         8         10        5         10        10        1         10        6         6         3         3         
Vardas5405     Pavardė5405   9         3         5         5         4         4         2         7         6         8         6         4         7         3         7         10        
Vardas5406     Pavardė5406   3         9         1         7         6         2         6         9         7         7         5         9         8         3         8         10        
Vardas5407     Pavardė5407   7         5         3         6         6         10        4         3         1         3         5         8         10        6         7         4         
Vardas5408     Pavardė5408   7         7         1         2         10        3         8         9         3         3         9         8         1         8         2         7         
Vardas5409     Pavardė5409   5         5         9         1         7         3         5         7         10        4         1         8         7         6         8         7         
Vardas5410     Pavardė5410   10        7         1         1         3         1         9         2         9         9         8         8         9         8         8         6         
Vardas5411     Pavardė5411   5         2         5         2         4         4         4         6         8         10        4         5         7         3         8         9         
Vardas5412     Pavardė5412   1         3         3         7         9         10        10        6         4         4         10        6         2         5         3         5         
Vardas5413     Pavardė5413   2         2         3         5         9         7         1         9         5         2         9         1         4         9         6         10        
Vardas5414     Pavardė5414   9         9         8         1         7         9         3         7         7         3         6         4         9         1         7         10        
Vardas5415     Pavardė5415   5         4         10        1         2         8         3         6         1         5         2         6         10        4         3         1         
Vardas5416     Pavardė5416   7         7         10        3         6         3         3         3         5         2         9         7         10        3         6         4         
Vardas5417     Pavardė5417   3         4         6         9         5         5         8         10        6         4         1         9         2         4         6         6         
Vardas5418     Pavardė5418   10        8         3         5         6         8         7         1         1         3         10        10        4         4         8         1         
Vardas5419     Pavardė5419   2         2         3         8         5         10        3         3         5         3         7         1         9         7         2         1         
Vardas5420     Pavardė5420   8         9         5         4         5         1         10        9         8         7         1         4         2         6         10        8         
Vardas5421     Pavardė5421   8         1         4         1         5         5         2         2         2         2         6         9         10        9         5         4         
Vardas5422     Pavardė5422   8         5         10        4         5         2         2         1         5         6         2         1         8         9         10        2         
Vardas5423     Pavardė5423   6         7         6         2         2         7         7         8         6         9         8         4         10        10        8         9         
Vardas5424     Pavardė5424   10        2         2         6         3         6         5         3         3         9         5         4         1         8         3         6         
Vardas5425     Pavardė5425   4         5         10        3         5         1         10        2         2         6         9         7         3         1         7         7         
Vardas5426     Pavardė5426   9         1         8         1         2         8         1         5         4         8         5         4         5         7         8         3         
Vardas5427     Pavardė5427   4         2         8         5         3         10        9         10        6         5         4         2         6         9         4         7         
Vardas5428     Pavardė5428   1         3         1         5         6         3         5         9         6         4         4         6         1         1         9         7         
Vardas5429     Pavardė5429   7         2         1         4         1         10        3         2         6         10        6         7         2         10        2         7         
Vardas5430     Pavardė5430   5         7         5         3         5         1         2         10        7         3         6         7         6         6         5         1         
Vardas5431     Pavardė5431   6         6         9         2         5         7         2         3         9         2         9         5         1         4         7         1         
Vardas5432     Pavardė5432   3         9         6         6         1         10        5         9         4         2         3         3         5         5         10        10        
Vardas5433     Pavardė5433   9         5         4         4         9         3         10        3         7         3         3         7         9         8         5         2         
Vardas5434     Pavardė5434   2         10        10        2         1         2         9         7         3         6         10        4         5         7         8         5         
Vardas5435     Pavardė5435   6         4         9         2         9         3         5         10        5         7         7         9         5         1         7         2         
Vardas5436     Pavardė5436   4         10        8         6         10        8         6         3         3         3         1         1         10        4         7         8         
Vardas5437     Pavardė5437   4         7         7         4         1         9         2         2         4         8         2         8         2         6         1         2         
Vardas5438     Pavardė5438   4         10        5         9         6         2         9         5         2         4         4         6         10        8         1         2         
Vardas5439     Pavardė5439   1         3         8         1         9         8         3         7         9         5         10        3         9         9         6         2         
Vardas5440     Pavardė5440   8         1         6         7         10        5         10        7         4         6         3         9         10        5         1         5         
Vardas5441     Pavardė5441   1         1         2         6         5         2         5         10        3         5         3         1         9         8         8         4         
Vardas5442     Pavardė5442   3         8         6         8         10        6         5         9         7         2         6         3         4         8         8         10        
Vardas5443     Pavardė5443   7         6         7         2         2         1         5         3         1         3         8         7         2         3         9         3         
Vardas5444     Pavardė5444   4         3         6         7         7         9         2         3         3         2         6         9         5         7         10        3         
Vardas5445     Pavardė5445   3         5         6         4         10        6         2         10        5         2         6         7         9         7         5         2         
Vardas5446     Pavardė5446   7         6         4         2         7         9         9         9         4         1         4         5         3         1         5         1         
Vardas5447     Pavardė5447   5         5         6         6         10        5         5         7         2         7         7         3         2         4         1         6         
Vardas5448     Pavardė5448   2         3         3         1         7         10        8         5         8         3         4         7         1         1         3         1         
Vardas5449     Pavardė5449   6         10        3         5         9         7         6         5         1         1         2         4         5         10        7         5         
Vardas5450     Pavardė5450   2         1         4         10        3         3         10        10        4         2         3         5         2         7         8         9         
Vardas5451     Pavardė5451   4         9         10        5         3         2         2         1         3         4         7         1         6         2         5         3         
Vardas5452     Pavardė5452   1         9         7         10        9         3         6         7         3         6         8         10        6         10        9         9         
Vardas5453     Pavardė5453   2         3         8         3         8         5         10        6         6         3         1         6         5         4         2         10        
Vardas5454     Pavardė5454   6         7         7         5         5         7         8         4         10        3         9         10        2         4         10        1         
Vardas5455     Pavardė5455   4         10        2         2         4         9         7         1         4         7         4         5         6         5         5         7         
Vardas5456     Pavardė5456   7         2         7         1         7         6         7         10        5         8         6         4         7         4         10        8         
Vardas5457     Pavardė5457   6         6         3         4         7         2         5         1         5         3         8         3         1         7         10        10        
Vardas5458     Pavardė5458   10        9         2         5         7         4         9         1         3         5         5         6         3         3         9         2         
Vardas5459     Pavardė5459   6         4         3         1         2         5         7         10        6         7         1         4         5         7         9         8         
Vardas5460     Pavardė5460   8         6         4         3         2         6         1         10        8         9         1         7         2         7         2         6         
Vardas5461     Pavardė5461   3         9         8         5         2         3         7         10        4         9         2         6         7         10        9         8         
Vardas5462     Pavardė5462   10        6         3         6         7         8         1         7         1         8         10        3         9         2         9         1         
Vardas5463     Pavardė5463   7         1         8         8         10        5         2         3         10        9         5         7         6         5         10        6         
Vardas5464     Pavardė5464   5         3         10        3         3         2         2         9         8         8         3         10        7         5         4         9         
Vardas5465     Pavardė5465   3         2         9         2         6         9         9         10        5         5         4         2         7         1         5         2         
Vardas5466     Pavardė5466   10        9         2         9         9         1         10        2         1         4         1         5         2         7         2         8         
Vardas5467     Pavardė5467   2         6         3         4         1         9         5         5         5         7         4         3         1         7         6         1         
Vardas5468     Pavardė5468   9         9         1         9         10        9         1         2         7         1         2         3         1         5         5         9         
Vardas5469     Pavardė5469   5         5         1         6         5         3         8         6         3         9         7         2         2         10        9         6         
Vardas5470     Pavardė5470   7         5         1         1         1         7         5         8         3         9         3         8         4         7         4         9         
Vardas5471     Pavardė5471   5         9         2         5         5         5         6         1         1         7         5         3         6         4         1         6         
Vardas5472     Pavardė5472   9         7         3         9         10        4         4         10        9         3         8         8         1         2         6         7         
Vardas5473     Pavardė5473   8         10        4         9         9         1         8         3         10        5         1         2         7         4         2         4         
Vardas5474     Pavardė5474   6         5         3         10        9         1         7         5         7         2         3         9         1         2         7         7         
Vardas5475     Pavardė5475   8         10        2         8         1         4         10        2         10        2         10        6         8         7         5         3         
Vardas5476     Pavardė5476   4         1         7         4         3         10        2         7         7         4         9         1         1         6         10        2         
Vardas5477     Pavardė5477   4         8         6         10        2         2         10        9         4         7         9         7         5         10        2         9         
Vardas5478     Pavardė5478   8         6         7         5         10        4         6         1         2         10        6         10        9         1         9         7         
Vardas5479     Pavardė5479   8         9         1         3         5         2         2         4         4         4         7         10        6         7         10        3         
Vardas5480     Pavardė5480   8         9         5         9         10        1         8         7         3         6         1         5         4         6         8         3         
Vardas5481     Pavardė5481   2         8         9         6         4         8         3         2         3         2         10        3         7         9         10        3         
Vardas5482     Pavardė5482   4         1         1         5         8         6         9         4         9         6         10        4         8         3         3         4         
Vardas5483     Pavardė5483   4         9         8         10        5         6         9         7         2         10        8         1         5         5         10        9         
Vardas5484     Pavardė5484   9         9         9         3         4         5         7         6         5         9         6         4         6         8         9         3         
Vardas5485     Pavardė5485   6         4         2         3         9         2         9         1         10        6         1         9         1         7         10        4         
Vardas5486     Pavardė5486   4         3         1         1         9         8         6         1         1         7         1         6         9         8         3         5         
Vardas5487     Pavardė5487   1         5         4         7         10        8         3         4         9         10        6         2         2         5         2         3         
Vardas5488     Pavardė5488   2         3         5         6         3         9         9         9         2         2         7         1         9         1         5         3         
Vardas5489     Pavardė5489   3         2         5         9         3         5         7         6         6         2         5         10        3         1         2         10        
Vardas5490     Pavardė5490   7         10        2         6         3         6         10        4         8         10        6         8         5         10        2         2         
Vardas5491     Pavardė5491   9         6         1         4         9         2         10        6         9         10        1         2         4         2         7         3         
Vardas5492     Pavardė5492   3         5         7         7         3         6         4         3         1         7         4         1         3         5         2         3         
Vardas5493     Pavardė5493   9         7         10        4         1         3         2         7         5         6         7         1         1         10        8         1         
Vardas5494     Pavardė5494   5         9         6         3         1         1         6         5         4         3         8         1         9         1         9         6         
Vardas5495     Pavardė5495   7         4         10        8         7         4         3         8         6         2         7         6         10        3         4         9         
Vardas5496     Pavardė5496   3         2         1         6         4         5         3         7         9         4         7         1         7         9         4         3         
Vardas5497     Pavardė5497   6         2         9         6         2         1         8         1         6         6         10        3         8         5         4         5         
Vardas5498     Pavardė5498   4         2         9         8         9         1         3         5         4         6         9         6         6         9         7         7         
Vardas5499     Pavardė5499   8         6         4         8         5         10        9         5         3         2         8         7         5         10        3         5         
Vardas5500     Pavardė5500   7         6         5         2         10        10        2         1         1         1         7         8         6         5         4         5         
Vardas5501     Pavardė5501   9         4         1         9         7         5         2         1         1         5         2         8         9         9         7         9         
Vardas5502     Pavardė5502   8         8         7         3         8         7         10        2         9         3         10        4         2         1         6         10        
Vardas5503     Pavardė5503   10        4         9         5         2         10        5         10        10        6         10        8         7         7         5         9         
Vardas5504     Pavardė5504   6         3         8         4         2         1         6         2         9         5         7         1         7         3         5         2         
Vardas5505     Pavardė5505   3         5         9         6         5         7         4         8         10        1         10        7         10        4         3         9         
Vardas5506     Pavardė5506   10        8         6         10        6         5         8         9         6         6         5         10        4         9         9         8         
Vardas5507     Pavardė5507   7         3         8         6         6         10        10        10        4         5         2         7         4         4         7         9         
Vardas5508     Pavardė5508   5         4         2         1         9         8         4         6         3         8         10        2         2         3         6         8         
Vardas5509     Pavardė5509   9         6         9         10        6         2         7         8         8         8         2         8         3         3         4         9         
Vardas5510     Pavardė5510   6         3         1         6         1         6         10        7         5         8         8         8         4         5         9         7         
Vardas5511     Pavardė5511   4         8         7         3         10        4         5         6         5         10        8         7         2         7         2         3         
Vardas5512     Pavardė5512   6         10        7         7         8         3         2         8         10        3         7         1         8         6         4         2         
Vardas5513     Pavardė5513   9         2         8         4         5         4         4         1         9         6         9         8         2         5         6         5         
Vardas5514     Pavardė5514   3         9         6         6         3         6         1         8         5         2         1         1         7         1         9         2         
Vardas5515     Pavardė5515   6         1         7         8         3         4         10        4         5         4         8         2         4         9         8         1         
Vardas5516     Pavardė5516   8         1         4         9         7         6         2         6         9         1         5         4         6         2         5         3         
Vardas5517     Pavardė5517   8         1         10        10        1         7         9         5         8         10        7         10        10        1         10        5         
Vardas5518     Pavardė5518   9         6         2         6         3         6         4         10        5         5         10        5         1         10        1         6         
Vardas5519     Pavardė5519   8         3         6         10        7         8         3         6         9         8         4         8         4         7         8         10        
Vardas5520     Pavardė5520   7         3         1         2         10        7         7         9         4         7         5         5         3         8         4         9         
Vardas5521     Pavardė5521   5         9         3         3         8         8         6         7         2         8         2         2         5         5         2         1         
Vardas5522     Pavardė5522   3         10        8         7         10        8         8         4         4         8         8         6         10        1         5         7         
Vardas5523     Pavardė5523   4         5         4         2         8         9         1         10        3         8         10        8         9         6         3         5         
Vardas5524     Pavardė5524   5         2         9         4         9         5         5         2         6         5         10        7         10        9         8         10        
Vardas5525     Pavardė5525   1         7         2         2         9         8         6         6         6         10        9         9         9         3         10        6         
Vardas5526     Pavardė5526   7         1         9         4         9         8         8         8         2         3         10        5         2         4         7         7         
Vardas5527     Pavardė5527   8         8         5         9         9         7         10        7         8         4         5         4         5         4         6         9         
Vardas5528     Pavardė5528   5         5         4         9         4         2         4         10        9         2         8         4         5         4         5         5         
Vardas5529     Pavardė5529   2         7         4         5         10        1         8         1         6         9         7         4         3         5         9         4         
Vardas5530     Pavardė5530   6         5         7         6         4         9         3         3         3         1         8         2         7         2         3         9         
Vardas5531     Pavardė5531   2         4         10        8         6         9         5         6         8         1         5         1         5         6         10        2         
Vardas5532     Pavardė5532   9         8         6         3         9         2         8         10        6         9         9         7         5         4         7         10        
Vardas5533     Pavardė5533   9         9         3         6         6         8         6         3         6         3         9         6         8         2         1         6         
Vardas5534     Pavardė5534   2         5         1         1         1         9         8         4         2         8         10        8         3         1         6         10        
Vardas5535     Pavardė5535   8         4         3         6         5         3         10        2         1         10        2         6         1         1         8         1         
Vardas5536     Pavardė5536   8         5         9         2         4         4         6         6         10        3         10        1         4         2         3         1         
Vardas5537     Pavardė5537   2         1         7         2         7         5         7         5         9         7         7         2         7         1         10        3         
Vardas5538     Pavardė5538   5         6         1         1         8         1         10        5         6         6         9         9         5         4         8         9         
Vardas5539     Pavardė5539   1         5         9         1         10        8         5         9         6         4         6         4         4         3         8         1         
Vardas5540     Pavardė5540   4         9         3         5         8         5         7         3         10        1         3         1         10        9         9         2         
Vardas5541     Pavardė5541   4         3         4         9         3         9         4         8         2         9         10        8         1         7         5         8         
Vardas5542     Pavardė5542   10        5         2         10        7         2         1         10        5         9         10        2         6         9         4         1         
Vardas5543     Pavardė5543   3         3         9         6         6         2         6         5         5         9         1         9         5         7         10        6         
Vardas5544     Pavardė5544   2         5         4         8         4         7         10        1         6         3         6         3         6         7         10        1         
Vardas5545     Pavardė5545   7         1         3         8         10        4         10        10        6         3         2         6         9         3         2         5         
Vardas5546     Pavardė5546   7         7         1         7         1         7         8         3         8         5         4         3         6         10        5         8         
Vardas5547     Pavardė5547   8         8         7         10        8         3         10        7         2         9         3         3         10        8         5         3         
Vardas5548     Pavardė5548   4         5         10        1         5         6         4         9         9         7         9         3         6         4         8         2         
Vardas5549     Pavardė5549   4         6         6         9         4         7         10        10        6         4         1         7         2         7         9         6         
Vardas5550     Pavardė5550   5         5         8         9         1         7         10        10        10        2         4         8         3         4         7         2         
Vardas5551     Pavardė5551   7         2         1         3         2         4         4         7         10        6         4         1         5         9         9         8         
Vardas5552     Pavardė5552   7         3         9         5         7         9         8         10        1         5         6         4         8         8         2         4         
Vardas5553     Pavardė5553   8         6         1         5         3         8         1         2         9         7         2         4         10        4         2         1         
Vardas5554     Pavardė5554   6         9         6         10        3         10        2         9         10        8         7         3         2         7         7         3         
Vardas5555     Pavardė5555   1         2         5         5         2         3         3         2         7         1         10        7         4         6         7         2         
Vardas5556     Pavardė5556   1         4         3         4         5         5         8         7         6         10        6         1         1         7         7         3         
Vardas5557     Pavardė5557   2         6         2         6         8         7         6         10        10        9         8         9         9         10        1         1         
Vardas5558     Pavardė5558   6         7         8         8         3         8         4         2         7         3         6         1         6         5         2         9         
Vardas5559     Pavardė5559   8         9         4         7         5         8         10        4         10        5         8         8         5         2         3         4         
Vardas5560     Pavardė5560   3         6         3         8         3         7         7         5         2         10        5         8         10        3         8         6         
Vardas5561     Pavardė5561   6         5         1         8         6         4         9         9         6         8         5         1         10        6         6         5         
Vardas5562     Pavardė5562   10        1         8         10        2         1         7         4         1         10        7         9         9         7         4         3         
